Movie_Name,Movie_Description,Movie_Date_Of_Release,Movie_Genres,Movie_Rate,Movie_Metascore,Movie_Length,Movie_Votes,Movie_Restriction,Movie_Gross
The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2008,"Action, Crime, Drama",9.0,84.0,152,2580403,PG-13,"534,858,444"
The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,2003,"Action, Adventure, Drama",9.0,94.0,201,1790723,PG-13,"377,845,905"
Inception,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",2010,"Action, Adventure, Sci-Fi",8.8,74.0,148,2288875,PG-13,"292,576,195"
The Lord of the Rings: The Two Towers,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",2002,"Action, Adventure, Drama",8.8,87.0,179,1617203,PG-13,"342,551,365"
The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,2001,"Action, Adventure, Drama",8.8,92.0,178,1811783,PG-13,"315,544,750"
The Matrix,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",1999,"Action, Sci-Fi",8.7,73.0,136,1871666,R,"171,479,930"
Star Wars: Episode V - The Empire Strikes Back,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",1980,"Action, Adventure, Fantasy",8.7,82.0,124,1262863,PG,"290,475,067"
Vikram,Members of a black ops team must track and eliminate a gang of masked murderers.,2022,"Action, Thriller",8.6,,175,30569,,
Top Gun: Maverick,"After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.",2022,"Action, Drama",8.6,78.0,130,225256,PG-13,
Terminator 2: Judgment Day,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.",1991,"Action, Sci-Fi",8.6,75.0,137,1075788,R,"204,843,350"
